Paw_1_Median stride time,Paw_1_Mean stride time,Paw_1_Kvar stride time,Paw_1_Frac stride time,Paw_1_Median stride intl,Paw_1_Mean stride intl,Paw_1_Kvar stride intl,Paw_1_Frac stride intl,Paw_2_Median stride time,Paw_2_Mean stride time,Paw_2_Kvar stride time,Paw_2_Frac stride time,Paw_2_Median stride intl,Paw_2_Mean stride intl,Paw_2_Kvar stride intl,Paw_2_Frac stride intl,Paw_3_Median stride time,Paw_3_Mean stride time,Paw_3_Kvar stride time,Paw_3_Frac stride time,Paw_3_Median stride intl,Paw_3_Mean stride intl,Paw_3_Kvar stride intl,Paw_3_Frac stride intl,Paw_4_Median stride time,Paw_4_Mean stride time,Paw_4_Kvar stride time,Paw_4_Frac stride time,Paw_4_Median stride intl,Paw_4_Mean stride intl,Paw_4_Kvar stride intl,Paw_4_Frac stride intl
5.0,5.48,0.32282254580286107,0.0067926025088006345,47.0,551.8571428571429,2.001925156999912,0.9932073974911994,5.0,7.4,1.053187446940471,0.0036689969755565473,431.0,586.3157894736842,0.954644832887987,0.9963310030244434,5.0,7.110332749562172,1.763604864608075,0.10064951162675392,19.0,59.333333333333336,2.491814318709877,0.899350488373246,5.0,5.90158371040724,0.48083673835055235,0.1293321433883683,16.0,44.578708946772366,3.433741129318121,0.8706678566116317
5.0,5.48062015503876,0.32297910657191303,0.01933490127440792,16.0,239.9765625,3.1300307608335536,0.980665098725592,5.0,36.166666666666664,5.340780224153163,0.04747579718864519,31.0,595.063829787234,2.2120521345258544,0.9525242028113549,5.0,7.633245382585752,1.698537133284847,0.07911721271126183,27.5,93.66666666666667,2.0863364649862928,0.9208827872887382,5.0,6.099173553719008,0.5835532258528734,0.0605480501011869,16.0,75.95580110497238,3.1246855651301235,0.9394519498988131
5.0,8.544871794871796,2.681128207015322,0.036933392441538294,31.0,224.76774193548388,2.527101215402649,0.9630666075584617,6.0,11.107913669064748,1.8306956370032386,0.04277956333813587,27.0,260.9492753623188,2.7178025457532273,0.9572204366618641,5.0,11.430939226519337,3.20744428573119,0.05732572315194503,56.5,197.50555555555556,1.9104468111314723,0.9426742768480549,5.0,14.410852713178295,3.6532427168602775,0.05150725922642137,39.0,278.5234375,2.69109646417803,0.9484927407735786
5.0,6.452830188679245,0.7660707110476755,0.027602905569007265,25.5,226.6139240506329,3.0757976139867256,0.9723970944309928,5.0,5.08,0.18398931410311686,0.0034167339252085013,15.5,1314.375,2.725890227679658,0.9965832660747915,5.0,7.183600713012478,1.9957159999807044,0.10842076943771858,23.0,66.31428571428572,2.9289549709821117,0.8915792305622814,5.0,11.051612903225806,2.255385056603209,0.04608555286521388,25.5,235.16233766233765,3.0540508599795695,0.9539144471347861
5.0,6.690476190476191,1.2954372124728124,0.023408863712095968,37.0,277.024,2.317934575778272,0.9765911362879041,5.0,5.651376146788991,0.378507936133854,0.01710540930800844,22.5,310.1296296296296,2.8386834243192167,0.9828945906919916,5.0,7.236252545824847,1.3667416703480955,0.09866155725869155,21.0,71.52448979591837,2.341028017459925,0.9013384427413085,5.0,6.454417952314166,0.5649032987648754,0.12779073642119293,17.0,50.16011235955056,4.0391347811025495,0.872209263578807
5.0,27.987179487179485,4.539647413008179,0.12127104049775013,20.0,220.84516129032258,2.9361167644002393,0.8787289595022498,5.0,5.12,0.39574766068481054,0.007110716071329371,18.0,644.4081632653061,3.1916996579158265,0.9928892839286706,5.0,6.902298850574713,1.5879596011681076,0.13343703127604023,19.0,51.08057553956834,2.7165589600765534,0.8665629687239598,5.0,8.89318600368324,3.557846024955661,0.134131437142381,17.0,66.17527675276753,3.566426452993824,0.865868562857619
5.0,7.055555555555555,0.6144255488157292,0.010585097516252709,32.0,657.4905660377359,2.992376763847338,0.9894149024837473,5.0,10.790697674418604,1.9614602905647984,0.012891037395121409,29.0,797.7380952380952,3.392838198057586,0.9871089626048786,5.0,6.251693002257336,0.8655547142262207,0.15388675890426182,18.0,40.55367231638418,2.6663714587339316,0.8461132410957382,5.0,6.670886075949367,1.0976640535862363,0.08784797466244373,19.0,75.87949260042284,3.0526177533834655,0.9121520253375562
5.0,26.555555555555557,5.973137846117085,0.07962685324004665,34.0,317.23364485981307,2.349683868245284,0.9203731467599534,5.0,8.476190476190476,2.3202968130922073,0.049419734577155865,17.0,165.07655502392345,3.168398854483009,0.9505802654228441,5.0,7.6195028680688335,2.2363381301250302,0.11063912488200345,20.0,67.01724137931035,2.6113946616855412,0.8893608751179966,5.0,5.711538461538462,0.4338820751595861,0.024737631184407798,17.0,211.47096774193548,3.345740803395422,0.9752623688155923
5.0,6.689655172413793,1.363058538368799,0.020895040120631158,29.0,301.90434782608696,3.6126796262007876,0.9791049598793689,5.0,11.14406779661017,4.432236459569934,0.03540847649307986,21.0,277.6837606837607,4.471214548319509,0.9645915235069201,5.0,7.1400437636761485,1.9938008600305208,0.08786148957940654,20.0,81.35964912280701,3.877339962311696,0.9121385104205935,5.0,6.596715328467154,1.0487295919688084,0.09733965210835263,21.0,67.75319926873857,3.3742244960514856,0.9026603478916474
5.0,5.894736842105263,0.4241776257221323,0.006222567920440025,24.0,72.54054054054055,1.4451123237693917,0.9937774320795599,5.0,11.778723404255318,1.9984080351571818,0.07689316073115172,29.0,118.75641025641026,2.928236826358918,0.9231068392688483,5.0,5.578651685393258,0.4358639401803624,0.05516973165175843,19.0,101.12957746478874,3.745514405789932,0.9448302683482416,5.0,6.622559652928416,0.5516241946700561,0.2544308017112062,15.0,25.955861070911723,3.6759840017746828,0.7455691982887939
5.0,10.74025974025974,3.0208505234090017,0.022892099872667885,29.0,382.2894736842105,2.0247664436395265,0.9771079001273321,5.0,5.9375,1.0087154827838007,0.005259369982837846,119.0,918.1290322580645,2.147085088433732,0.9947406300171622,5.0,7.775100401606426,2.695148348276955,0.05359021203565299,30.0,144.5766129032258,2.1830512129396253,0.946409787964347,5.0,11.614035087719298,4.207389624399493,0.1282732657919504,18.0,79.36180904522612,2.9566708273399405,0.8717267342080496
5.0,5.795698924731183,0.5167333936025644,0.02990457168220151,18.0,192.96756756756756,2.434000273805547,0.9700954283177985,5.0,5.488372093023256,0.5277422873539074,0.006546826453617399,24.5,825.3095238095239,2.4717323385278998,0.9934531735463826,5.0,7.787878787878788,2.0613993907613812,0.12119951176209498,27.0,64.29642857142858,1.5945930956492205,0.878800488237905,5.0,7.358851674641149,1.1189303465326936,0.042665335108743895,22.0,164.48076923076923,3.1249090100775962,0.9573346648912561
5.0,5.857142857142857,0.6201552261020058,0.019817294214316786,26.0,270.10791366906477,2.7154234619186957,0.9801827057856832,5.0,93.42857142857143,4.888998355213627,0.12644400406012857,29.0,750.1818181818181,1.820328967439731,0.8735559959398714,5.0,7.089958158995816,1.1506562263462607,0.08190342694185315,22.0,84.45283018867924,2.630748918891277,0.9180965730581468,5.0,10.964285714285714,4.164485878315718,0.022258204843153367,48.0,428.6024096385542,2.245681467755832,0.9777417951568467
5.0,7.2,2.246367667028987,0.023980016652789343,17.0,272.6806722689076,3.3914492554142504,0.9760199833472106,5.0,9.82258064516129,3.7714667338479706,0.016902581182348043,21.0,543.1639344262295,3.7074958985823567,0.983097418817652,5.0,7.660592255125285,1.4936809243647695,0.09333888426311407,26.0,81.08447488584476,5.0607293126993556,0.9066611157368859,5.0,15.839473684210526,4.369595452947597,0.16705523175131834,35.0,94.60949868073878,3.0054226549171714,0.8329447682486817
5.0,14.538461538461538,5.080659006267165,0.05229373028609374,32.0,236.94573643410854,2.777089632610749,0.9477062697139063,5.0,5.574074074074074,0.32863507944425324,0.008328260749266781,29.0,361.62264150943395,4.4704630821156695,0.9916717392507333,5.0,10.292682926829269,2.7728585003578834,0.07005699739914781,29.0,145.35102040816327,2.949413066411933,0.9299430026008522,5.0,6.482142857142857,0.9972261538754136,0.04017486580709424,23.0,143.69955156950672,4.798811608836149,0.9598251341929057
5.0,6.313253012048193,0.5386549688399576,0.01441857905453745,33.0,373.6219512195122,2.881236450731117,0.9855814209454625,5.0,5.8,0.3537635263566068,0.006383798360024214,32.0,838.7435897435897,2.8895263195100287,0.9936162016399758,5.0,7.106060606060606,1.289456977449618,0.14195696439381433,19.0,50.004137931034485,2.510633048439343,0.8580430356061857,5.0,6.908438061041292,1.3553892774576008,0.10588300038522921,18.0,65.29856115107914,2.930946707072018,0.8941169996147708
5.0,5.700787401574803,0.7003838443164186,0.01964295403982853,20.5,291.6825396825397,6.26006145178519,0.9803570459601715,5.0,9.272727272727273,0.9475377346335089,0.005534755005697542,95.0,1602.5238095238096,2.2909953959271268,0.9944652449943024,5.0,48.333333333333336,4.1251411534960045,0.035406153345271044,93.5,1332.9615384615386,2.8592868139401495,0.9645938466547289,5.0,58.787234042553195,3.6190913825016398,0.07496337294481524,97.5,795.8695652173913,3.00212397451564,0.9250366270551847
5.0,6.26063829787234,0.7415653638563361,0.03138666666666667,23.0,185.98395721925132,3.343993109155719,0.9686133333333333,5.0,13.0,3.909529146323967,0.0156,22.5,729.0681818181819,2.158861055037288,0.9844,5.0,8.861971830985915,1.8621528508131322,0.08389333333333333,27.0,105.20056497175142,2.300429719716073,0.9161066666666666,5.0,9.114285714285714,4.663757744013696,0.06805333333333333,15.0,124.53763440860214,4.588101704116591,0.9319466666666667
